Fecha de actualización;Coordinación Zonal;Provincia;Cantón;Estado;Características de cubierta del escenario;Longitud;Latitud;Nombre del Propietario;Nombre del Administrador;Tipo de propiedad;Hora de apertura;Hora de cierre;;Uso del escenario deportivo;Costo por uso de las instalaciones
19/08/2021 12:40;Zonal 4;Manabí;SAN VICENTE;;;-784.808.775;-0.18779;LIGA DEPORTIVA CANTONAL SAN VICENTE;LIGA DEPORTIVA CANTONAL SAN VICENTE;Privado;2:00 p. m.;6:00 p. m.;;ESTADIO;10
19/08/2021 12:00;Zonal 4;Manabí;JAMA;;;-784.808.775;-0.18779;GADM JAMA;LIGA DEPORTIVA CANTONAL JAMA;Privado;8:00 a. m.;6:00 p. m.;;ESTADIO;0
19/08/2021 11:40;Zonal 4;Manabí;JARAMIJÓ;;;-7.848.087.749.999.990;-0.18778999999999998;LIGA DEPORTIVA CANTONAL DE JARAMIJÓ;LIGA DEPORTIVA CANTONAL DE JARAMIJÓ;Privado;8:00 a. m.;6:00 p. m.;;"CANCHA DE FUTBOL
ESTADIO";0
19/08/2021 11:21;Zonal 4;Manabí;JARAMIJÓ;;;-784.808.775;-0.18779;LIGA DEPORTIVA CANTONAL DE JARAMIJÓ;LIGA DEPORTIVA CANTONAL DE JARAMIJÓ;Privado;8:00 a. m.;6:00 p. m.;;CANCHA DE FUTBOL;0
19/08/2021 10:46;Zonal 4;Manabí;PEDERNALES;;;-784.808.775;-0.18779;LIGA DEPORTIVA CANTONAL DE PEDERNALES;LIGA DEPORTIVA CANTONAL DE PEDERNALES;Público;8:00 a. m.;6:00 a. m.;;ESTADIO;0
19/08/2021 10:29;Zonal 4;Manabí;JAMA;;;-7.848.087.749.999.990;-0.18778999999999998;GADM JARAMIJÓ;LIGA DEPORTIVA CANTONAL DE JARAMIJÓ;Público;8:00 a. m.;6:00 p. m.;;ESTADIO;0
19/08/2021 10:29;Zonal 4;Manabí;JAMA;;;-7.848.087.749.999.990;-0.18778999999999998;GADM JARAMIJÓ;LIGA DEPORTIVA CANTONAL DE JARAMIJÓ;Público;8:00 a. m.;6:00 p. m.;;ESTADIO;0
19/08/2021 10:29;Zonal 4;Manabí;JAMA;;;-7.848.087.749.999.990;-0.18778999999999998;GADM JARAMIJÓ;LIGA DEPORTIVA CANTONAL DE JARAMIJÓ;Público;8:00 a. m.;6:00 p. m.;;ESTADIO;0
19/08/2021 10:12;Zonal 6;Azuay;CUENCA;;;-784.808.775;-0.18779;Ministerio del Deporte;Diana Caterine Luna Urgiles;Público;8:00 a. m.;6:00 p. m.;;"AREAS HUMEDAS
CANCHA DE FUTBOL
CANCHA DE RACQUETBALL
CANCHA DE TENIS
CANCHA DE USO MULTIPLE
CANCHA DE VOLEY
GIMNASIO
PISCINAS";0,5
19/08/2021 9:54;Zonal 4;Manabí;JARAMIJÓ;;;-7.848.087.749.999.990;-0.18778999999999998;LIGA DEPORTIVA CANTONAL DE JARAMIJÓ;LIGA DEPORTIVA CANTONAL DE JARAMIJÓ;Público;8:30 a. m.;6:00 p. m.;;CANCHA DE FUTBOL;0
19/08/2021 9:54;Zonal 4;Manabí;JARAMIJÓ;;;-7.848.087.749.999.990;-0.18778999999999998;LIGA DEPORTIVA CANTONAL DE JARAMIJÓ;LIGA DEPORTIVA CANTONAL DE JARAMIJÓ;Público;8:30 a. m.;6:00 p. m.;;CANCHA DE FUTBOL;0
19/08/2021 9:49;Zonal 4;Manabí;JARAMIJÓ;;;-7.848.087.749.999.990;-0.18778999999999998;LIGA DEPORTIVA CANTONAL DE JARAMIJÓ;LIGA DEPORTIVA CANTONAL DE JARAMIJÓ;Público;8:30 a. m.;6:00 p. m.;;CANCHA DE FUTBOL;0
